Qubit,T1,T2
108,7.897367565067526e-05,0.00010053744565597594
65,0.00020176728056747127,0.00010222716052257774
50,0.00011998461782911526,0.00010436232139125207
110,0.00012492715329120708,0.00010444269791920247
21,0.0002097991984365447,0.00010538601984204238
61,0.0002133051211226224,0.00010725535957722687
114,0.00016257991809095297,0.00010739010511672862
23,0.0001290102428309764,0.0001100364333739194
92,9.007300493632137e-05,0.0001101021180131343
59,0.00011437209862647356,0.00011107297075669146
74,0.0001111753624309038,0.00011171632367020423
80,0.00016951122160474287,0.00011247252504049054
16,0.00012423694300095335,0.00011538348739774245
30,0.00014309187751241075,0.00011552939372630446
130,0.000115433446724232,0.00011644632501426191
33,9.844350898131833e-05,0.00011736093424334085
27,0.00011345902892469288,0.00011766611494394359
26,0.0001842351172019323,0.00011937130581483306
103,0.00011256763798236028,0.00011958253120754271
10,0.0002313623793843603,0.00011958921130086902
41,0.00018134910518169517,0.00012027456739821153
141,0.0002091255122599376,0.00012134831261614649
154,0.0001592764232854836,0.00012147401422745244
87,0.0001028435802014097,0.0001215502281174497
55,0.00013136367392581897,0.00012258935095545574
71,0.00018096048982928816,0.00012381773539654265
106,0.00013894502735276054,0.00012397705915962096
136,0.00015057031603507085,0.00012426741741324148
116,9.56560903316064e-05,0.0001257087165922186
148,0.00010826903431309725,0.0001276566305858865
25,0.00020214518348154838,0.00012775550993099257
22,0.00016475537259455614,0.0001316592607550612
32,0.00013394618297998232,0.00013290188162316477
147,0.00013624219068433433,0.00013317318995478643
90,0.00014280922941422913,0.00013327433017636703
152,0.00010377273241718911,0.00013429864270424313
56,0.000109538628224887,0.00013695546060931343
145,0.0001516948548155663,0.00014002685012209137
124,0.0001300538114151781,0.00014075639962939296
38,0.0001356455446125415,0.00014117724910426806
95,0.00013432527874265678,0.00014272530379595883
84,0.00015639929733816176,0.00014282510966415288
112,0.00016415680691257925,0.00014292578890177834
119,0.00010108631952813217,0.0001453839120596356
115,0.00012038631847171831,0.00014978150030030643
2,0.000226222492637656,0.00015045707554494362
19,0.00017588117091616034,0.00015141517565118626
97,0.00013077009653693271,0.00015199680381044556
58,0.00017081829647026657,0.00015220458022612886
105,0.00018068618716041713,0.00015374748326912283
151,0.00012746333591768686,0.0001549679145175061
135,0.00013195596351320315,0.0001575565311257602
101,0.00013951582045434047,0.00015758368334081962
6,0.00018781762655444622,0.00015976512330824933
40,0.00014973353970231107,0.00015981096796777465
4,0.00018328032793123435,0.00016256258566567968
37,0.00015933380799615281,0.00016522383188553345
127,0.00017457269272857072,0.00016580028082450218
120,9.818084111414879e-05,0.0001658865509717267
121,0.00015209867523715661,0.0001667984430991942
75,0.00018549476971945272,0.00016694945573357843
143,0.0001827023697674281,0.00016892179026201126
39,0.0001610968840114246,0.0001694147135329489
5,0.0002136251503623999,0.000170904923707872
117,0.0001389158059063301,0.00017649767450089358
13,0.0002499370451585356,0.0001788050374559311
15,0.00026802847165840294,0.00017916668899411033
44,0.0001745294378538243,0.00018193427529007716
144,0.00013334940757581685,0.00019642607372902712
28,0.00019142947284985068,0.0001992934267691694
88,0.00014190720085393644,0.00019993158935678091
140,0.00011750107560953652,0.000202601353415254
93,0.00018846512505217775,0.000208628499320918
45,0.00019179226426216996,0.0002102097023180104
3,0.00025402404312759676,0.0002137664931167808
1,0.00017803925922551582,0.00021438401423431666
83,0.00018478812219165444,0.00022073059916810888
131,0.0002004404618026061,0.00022124917707469797
132,0.0001921043869057344,0.0002297276387441073
142,0.0001959520057614255,0.0002298445337638283
137,0.0001686430938724537,0.00023773913518800673
53,0.00019029230256233307,1.1838188779328772e-05
46,0.00016691379590826253,1.4889300191568817e-05
66,9.876416601264504e-05,1.6173002398479028e-05
155,0.00019282108952236012,1.7420023339464617e-05
63,0.0001444687330033182,1.815653768653538e-05
98,0.00010034100288767416,1.9815300328086957e-05
107,0.00010253635412941916,2.068838397470191e-05
91,0.0001543281366813026,2.13997773054553e-05
9,0.00022949638331811777,2.424346696262374e-05
81,0.00019580447818996665,2.4966287698129613e-05
100,0.00016359932034214311,2.615044047597365e-05
82,0.00012278542969887851,2.934516660831741e-05
139,0.0001061472509548026,3.109928349908273e-05
49,0.00014322705298987107,3.285487926268605e-05
113,0.00015944585151005648,3.285545345036106e-05
99,8.625550591422115e-05,3.339373444116676e-05
85,0.0001297356482178367,3.377981740088851e-05
8,0.00017420534947851885,3.415521943732795e-05
146,0.00013906906396277745,3.746025896710634e-05
7,0.00013146342328974227,3.874124011824358e-05
77,7.590667978477593e-05,4.13828694262227e-05
128,0.00011097955610341025,4.3988754128267604e-05
42,0.00019313544462004663,4.4113376181682846e-05
35,0.0001452939865489297,4.451103382210958e-05
134,0.00019133005577275298,4.533325056808706e-05
29,0.00022954024861335272,4.7240618450974075e-05
62,0.0001660196651716249,4.8921251151802996e-05
133,0.00018144556353854726,4.9574903619574216e-05
0,4.682473054843761e-05,5.114282147138365e-05
11,8.461241259338265e-05,5.193487346760393e-05
109,0.0001108379082302297,5.489976411910501e-05
79,8.425241898014815e-05,5.597028433942795e-05
48,0.00012933913031384805,5.673577042295329e-05
60,0.00019938109834706814,5.707439107993897e-05
150,0.0001423219398076782,5.715859346296871e-06
118,0.00015478640257123637,5.753164817063537e-05
125,0.00017177659698684568,5.80585602835301e-05
47,0.00018086227100485653,5.829716094570838e-05
20,0.0001027960891063508,5.98688051966353e-05
14,0.00022499688945587003,5.990116211107636e-05
78,5.157806693594387e-05,6.013347180878677e-05
153,0.00018366539533913365,6.336566326356035e-05
126,0.00012221751845290288,6.365886570891904e-05
67,0.00019332550043278136,6.545648599417693e-05
57,0.0001579673555580989,6.593260088822461e-05
34,0.00011676845289615467,6.690122373669935e-05
31,7.704157453840518e-05,6.727174223060585e-05
24,0.00015185334819680488,6.803300624135012e-05
51,8.763962900931593e-05,6.887615250952822e-05
149,6.348741152887375e-05,6.897031972771816e-06
73,0.00011986322818755398,6.897828104582381e-05
94,0.00015227388172459101,6.947445406842407e-05
102,0.0001128921987401594,7.07684211749332e-05
70,9.10156989985677e-05,7.162997200423998e-05
64,0.00010321984196659165,7.261905205479379e-05
96,5.960271415177141e-05,7.283291105402071e-05
122,0.00018200730530532343,7.351887139410399e-05
12,7.259046073850655e-05,7.916135966239177e-05
18,0.00016064093844420291,7.939014156331581e-05
76,0.0001283950318377123,8.197389734149683e-05
69,0.00015608512107659824,8.444010525647079e-05
89,0.00017295847156277233,8.477323393899126e-05
36,0.00011529327244292442,8.551146396882364e-05
138,6.999378842625727e-05,8.558429699328227e-05
68,0.00010723659938039224,8.7495916384126e-05
52,9.735710358414382e-05,8.759141086253266e-05
111,0.00012085128865207587,8.834595631818737e-05
104,8.106248562402559e-05,8.995497522968214e-05
129,0.00011638472525763264,9.103237665042768e-05
43,0.00023719824301398018,9.13450045482967e-05
123,0.00012737199530945902,9.162291263484907e-05
86,0.00018135752720890055,9.207000851581291e-05
54,5.8874926725238045e-05,9.328056070773931e-05
17,0.00020093323551412118,9.35428934899606e-05
72,7.158666952819199e-06,
