Qubit,T1,T2,Readout_Error,Gate_Error
0,5.5870271009501846e-05,5.853268161520776e-05,0.0169677734375,0.0028988451755069607
1,0.00018666803089578097,0.00024458560711338763,0.0164794921875,0.0013773913642043253
2,0.0002586852428271028,0.00017691142381907708,0.00244140625,0.00017590469757482947
3,0.00019263047070998513,0.0001809028200812825,0.016845703125,0.0002704619697005981
4,0.00020759369725062643,0.00014383297976685964,0.005615234375,0.00023323035493426808
5,8.925292191748679e-05,9.620403836557641e-05,0.004638671875,0.00019950339187646665
6,0.000179848430567405,0.00014405486534185976,0.002685546875,0.0004958345651406074
7,5.79060303915476e-05,3.175080828808665e-05,0.0159912109375,0.0003502402980805738
8,0.0001640873493323163,5.891633864613888e-05,0.0045166015625,0.0003899916034241134
9,0.00024581522804698036,2.3313330848867273e-05,0.006103515625,0.0002358528894797908
10,0.00022473471956064846,0.0001229922128012188,0.007080078125,0.00018800001113604035
11,8.461241259338265e-05,3.520420736926061e-05,0.013427734375,0.0011530391676222522
12,5.995876541506295e-05,4.742664232655718e-05,0.015869140625,0.000342962125479263
13,0.0002393176521000264,0.00015331509939581672,0.0128173828125,0.0002715029294973289
14,0.00019118562749543842,5.994075689848849e-05,0.0030517578125,0.00018290895950647535
15,0.00030657138885558174,0.00016508342971347344,0.0335693359375,0.0001979799440171367
16,0.00015090665473611027,6.813863313630151e-05,0.0078125,0.00041590674005968125
17,0.00020093323551412118,7.97924428762474e-05,0.426513671875,0.000303635603542399
18,0.00015356526680078815,7.127435973431109e-05,0.004638671875,0.0003589374538503906
19,0.0001591569288961968,0.00014611123155517714,0.010986328125,0.0003034745112009146
20,0.00018593128426187981,0.0002156931174572428,0.0072021484375,0.0003953491969285369
21,0.00022831084097212252,0.00015835898627025488,0.0052490234375,0.0003668687280783774
22,0.00014741332496955657,0.00010587382720523172,0.00439453125,0.0001786986544258737
23,9.581242729615222e-05,8.411149177462118e-05,0.00537109375,0.00017957398359547182
24,9.144299098143658e-05,9.422369625477296e-05,0.0108642578125,0.001295107641440866
25,0.0002098897628482249,6.616537099474172e-05,0.0068359375,0.0006244127019491613
26,0.00016510184243743068,0.0001124532953802037,0.0059814453125,0.0002606881356706087
27,0.00011500688530301107,0.00011198792071379714,0.009521484375,0.005706848277892543
28,0.00012339023490951092,0.00013229998625132012,0.005859375,0.00016304590629748347
29,0.00015317759783290715,4.827472940000344e-05,0.007080078125,0.00021185907385401143
30,0.00016594937250166418,0.00011961131276019504,0.0040283203125,0.0002350449052802553
31,6.773458182851108e-05,4.217196254184368e-05,0.0098876953125,0.0005006644327180144
32,9.365317793783262e-05,0.00010443459344851725,0.0263671875,0.00023124069298645524
33,0.0001274698941915748,0.0001068444197749359,0.0194091796875,0.00018583916699246592
34,0.00011550367898160142,6.531261574724372e-05,0.008056640625,0.0005779112594693616
35,0.00014069870997685124,3.921871384218212e-05,0.017822265625,0.0003068993633783399
36,9.723975390147137e-05,0.00011681584677711074,0.004638671875,0.00041026645266374856
37,0.00011802929118440226,0.0001569288251654,0.0093994140625,0.0002634871494645613
38,0.00011259419795644964,0.00012518296232599113,0.0067138671875,0.00038519725553988547
39,0.00011958186121873571,0.00012168144711632358,0.0164794921875,0.0007303203100666133
40,0.00020282087037774385,0.0002161241046528067,0.0130615234375,0.0002257675853294289
41,0.00017260786717463147,0.00011406275131854883,0.17626953125,0.00016476123488272523
42,0.0001503614970625521,4.0030833481191984e-05,0.005859375,0.00022914272972956982
43,0.00018332016489549903,8.168789788922927e-05,0.0831298828125,0.0002851757706506536
44,0.0001190068247882186,0.00012793720639582445,0.007568359375,0.0004541838333394322
45,0.000125766662330003,6.227634656688081e-05,0.0406494140625,0.0002001293141121336
46,0.00016083720946846953,1.23498215929236e-05,0.005126953125,0.0004853763026091734
47,0.00013616855533659384,5.466858739008421e-05,0.0185546875,0.0003732215283490756
48,8.331185661625166e-05,5.2307837204095355e-05,0.0054931640625,0.0009816024900191362
49,0.00011225040109544844,3.375222681621608e-05,0.0159912109375,0.0003902081971286197
50,0.0001348888321680447,0.00010407104547528384,0.0047607421875,0.0003210650201516164
51,7.079072412844992e-05,6.614563280836078e-05,0.0247802734375,0.0002460386318091339
52,0.00013141346427436565,9.62323813024491e-05,0.0098876953125,0.00032570748409286665
53,0.00016680224555546474,1.165761537923524e-05,0.0989990234375,0.00026274167941820316
54,0.00016630548199180422,0.00021202848522983205,0.005126953125,0.0013511418667763245
55,7.81282166926178e-05,9.103833788721882e-05,0.0777587890625,0.00036024364265997184
56,0.00010678830835744264,0.00012072250550681132,0.0062255859375,0.00041986529840070243
57,0.00013898186013029375,6.147091149254963e-05,0.01123046875,0.0006608062464011156
58,0.0001549029293228115,0.00015161585639119642,0.021484375,0.00035200579002915935
59,0.00014773999474330818,0.00014047287411662768,0.0072021484375,0.0004543710770476779
60,0.00013644279708532729,4.139957118684438e-05,0.0313720703125,0.00043518341532608327
61,0.00013610290233137122,9.229684249164268e-05,0.0330810546875,0.00021598598297235976
62,0.00010704516043089108,4.177502309116905e-05,0.01806640625,0.0003468097050792838
63,0.00015907974503011064,1.3654680841926006e-05,0.0328369140625,0.00083113478475983
64,0.00015539547405201746,0.00015582560548965096,0.00341796875,0.00025308569143456304
65,0.0001160642051569832,8.606951261570095e-05,0.0526123046875,0.0003193748639046917
66,8.275028551866998e-05,1.8031475177758307e-05,0.0084228515625,0.0002447183957159822
67,0.00014809800820719338,6.412206004913773e-05,0.04736328125,0.0003391680181415869
